property_id,area,community,building_name,property_type,size_sqft,bedrooms,completion_date,developer_name,current_owner,rental_status,estimated_value_aed,service_charge_per_sqft
0f23a8d4-1066-4907-88ba-baec9ab50ca5,Emirates Living,Community_22,Building_460,Building,13807,,2016-07-19,Developer_72,Owner_2761,Occupied,5389357,24
9e3ab367-72d7-47a6-bf07-63507efd12cf,Sports City,Community_79,Building_146,Apartment,1635,1.0,2020-08-09,Developer_87,Owner_5259,Vacant,9138445,8
6145435d-4407-4387-9860-e99fa2e29bde,Motor City,Community_29,Building_353,Retail,10296,,2025-06-06,Developer_60,Owner_6548,Under Renovation,3231440,20
98c82d97-6948-4929-afec-5af0d5ac212a,Discovery Gardens,Community_66,Building_157,Townhouse,2905,6.0,2017-11-16,Developer_61,Owner_7848,Vacant,5689630,15
26eafae8-d95e-4d8a-8b0f-8b388df4cf64,Emirates Living,Community_60,Building_77,Villa,6260,2.0,2025-05-18,Developer_20,Owner_1962,Under Renovation,2474982,9
c97ba575-88a0-4e6d-a91e-0b559d5c55b7,Jumeirah Village Circle,Community_17,Building_77,Office,3406,,2022-08-15,Developer_52,Owner_6242,Under Renovation,4514016,20
a124a2ff-4497-4468-bf9e-5fba0994d11f,International City,Community_16,Building_477,Office,19091,,2017-08-11,Developer_85,Owner_5956,Under Renovation,4019388,20
d5f4dfb9-1729-4701-8537-dafc0dee4e73,Dubai Marina,Community_21,Building_201,Townhouse,2068,3.0,2025-01-18,Developer_16,Owner_1514,Occupied,7035716,10
65143ce4-7e88-4255-aab9-8f9bc70ddf51,Motor City,Community_85,Building_495,Office,14024,,2016-12-31,Developer_51,Owner_8366,Vacant,5984609,18
d5210a2a-12ca-4444-b848-d8347bbc80c7,Jumeirah Lake Towers,Community_73,Building_445,Building,7028,,2025-09-15,Developer_31,Owner_5105,Occupied,2063910,20
22b2e23d-4ea7-40d9-96a1-0ce252eb825e,Jumeirah Lake Towers,Community_6,Building_453,Villa,1649,2.0,2020-01-15,Developer_87,Owner_9115,Occupied,3893282,10
a78caff8-8dca-4506-b665-9e0c93b766d3,International City,Community_99,Building_5,Apartment,5673,3.0,2017-10-24,Developer_53,Owner_7111,Occupied,545924,8
2139a52e-d736-4744-903d-5825d8fb3411,Motor City,Community_65,Building_104,Building,7916,,2024-02-18,Developer_52,Owner_9273,Occupied,9406505,17
3fc63d24-061f-422a-9be3-23e8e0cd26d2,Sports City,Community_79,Building_475,Retail,7444,,2020-11-29,Developer_15,Owner_8453,Under Renovation,9679203,14
33ec19e6-28c5-4eeb-9f0b-4cd02b3e9b68,Studio City,Community_59,Building_23,Building,10322,,2022-01-22,Developer_12,Owner_7673,Under Renovation,1553583,20
88d468fe-5263-43d9-9a6f-a2fbb7dabeb3,International City,Community_78,Building_293,Office,8567,,2022-04-04,Developer_85,Owner_4651,Occupied,4940937,14
49d469ca-e2fc-4c95-a196-d338a5c797df,Dubai Marina,Community_30,Building_343,Building,19991,,2022-12-10,Developer_60,Owner_5347,Vacant,9404386,12
831254a5-0cfc-42c8-a45f-f04af2c6b241,Dubai Marina,Community_58,Building_123,Villa,3752,1.0,2020-12-19,Developer_16,Owner_2246,Occupied,9480132,22
ac509b3a-937b-41a7-8631-7ae1eba7c6ea,International City,Community_65,Building_445,Apartment,6502,6.0,2016-12-14,Developer_49,Owner_1838,Occupied,4080502,22
d5c9ba67-8fae-4151-9092-7c3027306256,Studio City,Community_100,Building_60,Townhouse,7506,2.0,2021-06-05,Developer_81,Owner_6383,Vacant,9644643,25
e5719641-d302-4fcf-85cb-e21babc04752,Emirates Living,Community_88,Building_220,Apartment,1152,3.0,2018-07-15,Developer_41,Owner_8862,Vacant,2168660,9
bfaa562c-5010-43db-8c07-7659fc7a3283,City Walk,Community_85,Building_150,Villa,6003,3.0,2021-02-16,Developer_30,Owner_7986,Vacant,3249908,16
a2dc916c-366e-46e7-908d-078f6bf971c8,Jumeirah Village Circle,Community_37,Building_159,Building,18770,,2018-01-13,Developer_80,Owner_2123,Vacant,3110008,8
0c66b10e-bf2d-43af-8388-83895e90617f,Business Bay,Community_9,Building_399,Villa,6810,3.0,2023-10-13,Developer_24,Owner_8393,Occupied,2537409,21
1a1fbf98-3287-49c1-83d1-c103f9a059ef,Studio City,Community_66,Building_63,Office,16769,,2018-04-19,Developer_88,Owner_5559,Vacant,6477035,7
a691de1b-e253-4fb4-b178-abbc493b5c1d,Palm Jumeirah,Community_50,Building_413,Villa,2050,5.0,2022-12-25,Developer_12,Owner_2415,Vacant,3222810,9
f7476b7c-e7d7-40f9-92cc-7396f2776ce3,Jumeirah Lake Towers,Community_67,Building_418,Villa,6148,5.0,2023-08-12,Developer_71,Owner_6757,Vacant,6207286,17
8aeda7f3-837d-4dee-bcf7-41cd44d92f21,International City,Community_66,Building_398,Apartment,7150,4.0,2023-05-30,Developer_31,Owner_4115,Under Renovation,8610494,23
16d335bb-ab10-4a9c-afeb-0239fdd71e7d,Downtown Dubai,Community_30,Building_428,Plot,17199,,2019-07-16,Developer_68,Owner_7345,Occupied,6688625,11
e6fa2c12-2669-456a-a3bf-9650916aae5c,Dubai Marina,Community_58,Building_97,Apartment,530,5.0,2021-10-21,Developer_12,Owner_7103,Under Renovation,6182872,18
70c93a06-40f1-4aed-b49d-8f9122da6182,Business Bay,Community_60,Building_44,Townhouse,1598,1.0,2019-02-14,Developer_76,Owner_2908,Under Renovation,2777847,20
c7406eaa-719a-4469-9c7b-bf82e31ed695,Motor City,Community_71,Building_372,Retail,12164,,2024-06-12,Developer_89,Owner_1532,Under Renovation,5819500,12
2fcc1623-6070-453e-beb6-cda192e7e0c2,DIFC,Community_55,Building_151,Retail,2275,,2016-02-28,Developer_23,Owner_1899,Occupied,2797127,13
bba61537-0d43-400a-8000-ae17b3fb88e7,Jumeirah Beach Residence,Community_36,Building_175,Villa,7461,4.0,2024-12-15,Developer_77,Owner_6960,Vacant,8859869,14
a8c75bdb-534c-4b0e-b5e8-74c92c59bab3,DIFC,Community_3,Building_14,Office,10343,,2022-02-11,Developer_33,Owner_2524,Vacant,9307272,24
867413ad-7c90-4911-8f68-f35af4b25457,Jumeirah Village Circle,Community_15,Building_49,Townhouse,2664,3.0,2022-03-22,Developer_25,Owner_3992,Under Renovation,4061978,23
05aa41d3-f5c4-4ae9-9ff7-86721ce1f82c,Downtown Dubai,Community_7,Building_142,Villa,3051,5.0,2017-04-29,Developer_79,Owner_2305,Under Renovation,9709626,23
600384c2-2293-4512-91cd-0d48de565352,Studio City,Community_71,Building_337,Townhouse,2937,1.0,2021-04-06,Developer_15,Owner_6110,Occupied,2059735,15
554d2b14-6507-4b05-b800-7886a9eb08d0,City Walk,Community_7,Building_71,Plot,3252,,2024-09-24,Developer_85,Owner_1065,Vacant,8502347,6
7f8187fe-b0c3-4299-93aa-b3d40f494651,Motor City,Community_47,Building_208,Building,18759,,2024-08-04,Developer_43,Owner_3601,Under Renovation,9915213,12
55d16225-2451-49b0-b74a-28a4f6e27b67,Downtown Dubai,Community_22,Building_95,Townhouse,5812,5.0,2017-12-06,Developer_23,Owner_1275,Occupied,4164443,9
e2e0d0a1-c129-4129-af32-144cb95b493b,Arabian Ranches,Community_88,Building_261,Plot,8818,,2021-03-20,Developer_10,Owner_9568,Occupied,3646566,20
a6f96d00-af5c-46dd-9a5f-7df22ab79b48,Studio City,Community_8,Building_221,Villa,2228,5.0,2018-04-24,Developer_59,Owner_4153,Under Renovation,5410796,16
cdd86e8f-e195-452f-8c07-d7c3b580d764,Dubai Investment Park,Community_76,Building_211,Office,19950,,2022-07-25,Developer_44,Owner_5080,Under Renovation,2591259,18
63acd210-6ab5-424e-a859-94d5fb02d1a2,City Walk,Community_78,Building_255,Plot,1047,,2024-07-03,Developer_61,Owner_4132,Under Renovation,4743565,9
