investor_id,investor_name,investor_type,nationality,investment_strategy,total_investments,total_value_aed,active_since,preferred_areas,risk_score,liquidity_score
001a582a-b6d9-4231-a986-77b8f3739d02,Investor_5079,Individual,Pakistan,Mixed Portfolio,8,1187899,2017-07-08,"Palm Jumeirah,Jumeirah Lake Towers,Downtown Dubai",0.95,0.9
049ad105-2ba6-4e9e-accf-23a6fa264f8f,Investor_3189,Fund,Russia,Mixed Portfolio,19,44571790,2024-02-24,Palm Jumeirah,0.3,0.97
452c2507-e894-4df6-af40-0fef4f993897,Investor_5194,Company,UAE,Mixed Portfolio,43,79283995,2023-08-07,"City Walk,Emirates Living,Discovery Gardens,Jumeirah Village Circle",0.39,0.28
ac50a460-f7c7-4142-8101-7af94617101d,Investor_7479,Family Office,India,REIT,15,98953695,2016-08-24,"Palm Jumeirah,Dubai Investment Park,Motor City,Dubai Marina",0.55,0.51
b1be1426-a906-44f9-bc09-83f4a929fdfa,Investor_4094,Company,China,REIT,47,25213769,2017-07-12,"Business Bay,DIFC,Arabian Ranches",0.9,0.84
50b5a3cd-4232-49a9-a8ab-92d08b9b4032,Investor_4077,Family Office,Saudi Arabia,Flip,5,58229772,2022-01-15,"Jumeirah Beach Residence,Jumeirah Village Circle,Dubai Investment Park,Palm Jumeirah",0.78,0.11
6b21edaa-35eb-42f9-aecf-8ce7c560d973,Investor_7191,Individual,Russia,Buy & Hold,8,2818926,2016-03-24,Dubai Investment Park,0.32,0.18
41504534-c8e6-4920-b756-2f1eb1669966,Investor_1221,Company,UAE,Buy & Hold,35,99801898,2020-12-29,Emirates Living,0.23,0.78
72656325-18cc-447e-895c-4f20931e2207,Investor_3672,REIT,UK,Development,31,21738427,2022-01-21,Studio City,0.72,0.66
f8c21c7a-ecf1-4830-9c15-86d3603c8e0e,Investor_1347,Individual,UAE,Buy & Hold,35,40827566,2023-08-22,"International City,Dubai Investment Park,Business Bay,Discovery Gardens,Jumeirah Village Circle",0.12,0.48
b2a326d3-311c-4f46-ab96-8bbf17ae5d61,Investor_6788,Company,UK,Flip,44,52639439,2017-02-02,Motor City,0.25,0.2
38072e98-79e2-4cd2-afc6-fb9bd6f6d8d6,Investor_5617,Individual,USA,Buy & Hold,40,45791783,2023-06-19,"Downtown Dubai,Dubai Marina,Dubai Investment Park",0.26,0.58
b84272e2-496d-412d-84fc-34800de78b3a,Investor_3971,Government,Russia,Flip,43,93229150,2021-05-29,"DIFC,Palm Jumeirah,Jumeirah Village Circle,Dubai Investment Park,Dubai Hills Estate",0.7,0.94
b89e942d-2807-4430-ac2e-c0fc91ace08e,Investor_2251,Family Office,UAE,Flip,50,89027250,2023-02-23,"Dubai Investment Park,Jumeirah Beach Residence,Discovery Gardens",0.75,0.81
019ebcff-519d-4a82-aa06-affd1257786b,Investor_2102,REIT,Saudi Arabia,Mixed Portfolio,28,98537060,2021-09-01,"Downtown Dubai,Jumeirah Lake Towers",1.0,0.26
d5e917b0-1d7c-4147-83e5-8a156ea53b50,Investor_6777,REIT,USA,REIT,28,65597455,2017-01-05,"Jumeirah Lake Towers,Dubai Investment Park,Dubai Hills Estate,Emirates Living",0.48,0.55
7e85199d-228d-4386-a52b-75c48e37b798,Investor_9070,Government,France,Mixed Portfolio,15,52623796,2023-11-08,"International City,Sports City,Dubai Hills Estate,Palm Jumeirah,Dubai Marina",0.31,0.1
5d31026b-2a8b-48ba-b4e7-c417fc9ebf8e,Investor_6937,Individual,France,REIT,9,15784930,2024-02-14,"Palm Jumeirah,Dubai Investment Park,DIFC",0.51,0.85
896f6a08-5bb3-4913-9860-f395f9185a47,Investor_7898,Government,Pakistan,Flip,15,8498162,2016-05-31,"Jumeirah Village Circle,Dubai Investment Park",0.44,0.12
59ef7753-bedd-4358-bbca-c6aa27cba59a,Investor_7089,REIT,UAE,Buy & Hold,43,79061980,2023-12-18,"Arabian Ranches,Business Bay,Dubai Investment Park,Studio City",0.23,0.32
c0bbac39-eae9-469c-be4e-b177ca1fa696,Investor_7823,Individual,India,Flip,31,19805567,2016-05-26,"DIFC,Motor City,International City,Palm Jumeirah,Arabian Ranches",0.5,0.68
d8e2e43a-3479-4bc6-9db5-28df8b17b480,Investor_5698,Individual,Saudi Arabia,Flip,4,87228754,2024-06-06,"Arabian Ranches,Sports City,Studio City,Business Bay,Emirates Living",0.85,0.71
