transaction_id,transaction_date,area,property_type,price_aed,buyer_name,seller_name,size_sqft,bedrooms,transaction_type,registration_fee,broker_name,developer_name
f1d75c3f-882b-4fc9-8a33-894e6b97d041,2024-05-31,Jumeirah Village Circle,Apartment,975268,Buyer_4657,Seller_3286,6533,1.0,Mortgage,39010,Broker_858,Developer_21
6e7f4822-0cc7-410b-b1e7-9cf342d7440a,2024-07-24,International City,Apartment,576686,Buyer_4811,Seller_9279,5431,1.0,Mortgage,23067,Broker_303,Developer_99
57558522-a2da-492e-a9f3-f20f3d1a8a12,2024-03-24,Studio City,Office,1025170,Buyer_1106,Seller_3615,14848,,Lease,41006,Broker_384,
8a1d2b0c-d5cc-4d23-a416-b8d58c473475,2025-03-30,Jumeirah Lake Towers,Apartment,611937,Buyer_6881,Seller_6635,5445,3.0,Sale,24477,Broker_847,
6d5cd97f-23db-43b4-b987-b125a89bf699,2024-02-22,Jumeirah Village Circle,Office,906192,Buyer_6925,Seller_4150,3279,,Sale,36247,Broker_777,
49bc9205-c466-4ee6-8d06-4ddab4e53b38,2025-03-22,DIFC,Apartment,1870160,Buyer_7227,Seller_5554,4214,6.0,Lease,74806,Broker_266,
4c6cb654-bf49-4258-83a3-e39e884ee374,2025-05-21,Emirates Living,Plot,443442,Buyer_3803,Seller_9751,9021,,Sale,17737,Broker_573,
5e84e638-af0d-4928-bd23-652349f93f25,2025-06-22,Studio City,Villa,2948074,Buyer_4752,Seller_1525,7094,3.0,Lease,117922,Broker_374,
da9b5f3c-7816-45e5-9013-f67e037accff,2023-07-27,Jumeirah Lake Towers,Villa,2897017,Buyer_8517,Seller_3340,2669,2.0,Sale,115880,Broker_862,
bb5532df-a911-47f4-9a8b-b8ad4b87c03e,2023-07-20,City Walk,Plot,554605,Buyer_6930,Seller_4593,5532,,Mortgage,22184,Broker_605,
22784fb5-4be7-43d0-8066-f9b0fa03ed83,2024-11-21,Dubai Marina,Building,5825657,Buyer_7916,Seller_2040,13608,,Lease,233026,Broker_710,Developer_77
49da9407-9258-4a52-9977-4beb83198cfc,2025-09-21,City Walk,Retail,1172291,Buyer_2876,Seller_9797,9743,,Mortgage,46891,Broker_448,
e0df4c0e-8c64-4518-b991-ab585c5f5939,2024-04-23,International City,Villa,2544016,Buyer_9201,Seller_3927,4658,1.0,Mortgage,101760,Broker_405,Developer_74
bbcc6e16-f7e5-4a31-938b-9a3a6f07251c,2024-11-18,Emirates Living,Villa,2404349,Buyer_9837,Seller_9689,504,5.0,Lease,96173,Broker_600,
616a8eb1-11fe-46b0-ba26-1fcd4ec158e3,2024-06-11,Palm Jumeirah,Building,15809279,Buyer_1949,Seller_4946,19591,,Sale,632371,Broker_187,Developer_18
febcf2e4-f979-40d7-9147-1f9bdd881fe1,2023-02-14,Studio City,Building,3940161,Buyer_3705,Seller_5342,18290,,Mortgage,157606,Broker_533,Developer_79
